"Item","Qty","Price ($)","Link/Source",""
"LED Strips","15m * 4","49.48 * 4","[Amazon](https://www.amazon.com/BTF-LIGHTING-Addressable-100Pixels-Non-Waterproof-Respberry/dp/B0DCG5G9VQ)",""
"1000uF 25V Caps","~10","7","[Amazon](https://www.amazon.com/10x20mm-Electrolytic-Capacitor-Aluminum-Capacitors/dp/B0F8C1VMT6/ref=sr_1_6)",""
"Pillow fill","5 lbs","25","[Amazon 1](https://www.amazon.com/Fairfield-Poly-Premium-Fiber-32-Ounce/dp/B002OUP6JE/) or [Amazon 2](https://www.amazon.com/Jecqbor-Polyfill-Stuffing-Polyester-Fiberfill/dp/B0G2WZL4Z2/)",""
"Light blue spray paint","1","7","[Home Depot](https://www.homedepot.com/p/Rust-Oleum-Painter-s-Touch-2X-12-oz-Satin-Seaside-General-Purpose-Spray-Paint-334095/307244941)",""
"Spray adhesive","2","13 * 2","[Home Depot](https://www.homedepot.com/p/Gorilla-14-oz-Spray-Adhesive-6301502/303508262)",""
"3 strand wire 20awg","32ft","16.13","[Amazon](https://www.amazon.com/BTF-LIGHTING-Electrical-Extension-Connection-Changing/dp/B0C81L9GT7/ref=sr_1_2)",""
"2 strand wire 10awg","30ft / 10m","61","[Home Depot](https://www.homedepot.com/p/Vrbgify-30-ft-12-Gauge-2-Conductors-Stranded-Grounded-Landscape-Lighting-Wire-Cut-Flexible-Copper-Clad-Aluminum-PVC-BSA1127D443/341232845)",""
"24V PSU - 1200W","1","70","[Amazon](https://www.amazon.com/VAYALT-Switching-Universal-Transformer-Industrial/dp/B0FCSK1M9K/)",""
"USA power plug","1","5","[Amazon](https://www.amazon.com/Computer-Monitor-Printer-PlayStation-Asus-ETL/dp/B0FNML9SRY)",""
"WAGOS!","10","9","[Home Depot](https://www.homedepot.com/p/WAGO-221-413K006-000-3-Wire-Lever-Nuts-Conductor-Compact-Splicing-Connectors-12-24-AWG-10-Pack-221-413K006-000/334555570)",""
"TwinkleTron","1","-","I'll grab it from home",""
"OBS Board","2","11","[Home Depot](https://www.homedepot.com/p/OSB-7-16-Application-as-4ft-X-8-ft-Sheathing-Panel-386081/202106230)",""
"2x4 lumber","3","17,4","[Home Depot](https://www.homedepot.com/p/2-in-x-4-in-x-8-ft-2-Premium-Grade-Dimensional-Lumber-441317/202094172)",""
"Screws","1 box","12","[Home Depot](https://www.homedepot.com/p/Grip-Rite-9-x-3-in-Star-Drive-Dual-Flat-Head-Coarse-Thread-Construction-Screws-1-lb-Box-3GCS1/204959258)",""
"Home depod delivery  ¯\_(ツ)_/¯","-","79","",""